time,title,content,href
2020/03/06 14:53,"갤럭시펫, 독일 고양이사료 '레오나르도' 국내 유통 개시",반려동물 복합매장 갤럭시펫(대표 윤성경)이 독일의 프리미엄 고양이 사료 '레오나르도'의 국내 유통을 개시한다. 레오나르도는 대부분의 고양이들이 육분보다는 생육을 좋아하기에 생육을 포함한 엄선된 재료를 선정하여 기존 제품을 품질을 개선한 새로...,http://www.koreadognews.co.kr/news/view.php?no=2753
2020/03/03 12:32,"로얄캐닌 코리아, ‘맞춤영양사료 무료체험 프로그램’ 런칭",펫사료 브랜드 로얄캐닌이 3월 2일부터 반려동물의 나이 및 품종에 따른 다양한 제품을 무료로 경험할 수 있는 ‘맞춤영양사료 무료체험 프로그램’을 시작한다. ‘맞춤영양사료 무료체험 프로그램’은 사료를 구매하기 전 로얄캐닌 제품의 효과를 미리 경험할 수 ...,http://www.koreadognews.co.kr/news/view.php?no=2744
2020/02/25 13:27,"닥터아이앤비, PDT 기술을 통한 반려동물 염증치료 첫선 보여","닥터아이앤비㈜(대표, 송영규)는 국내는 물론 세계 최초로 PDT(광역학) 기술을 이용하여 동물의 염증치료에 효과적인 레이저 치료기와 의약외품인 PhotoCure를 지난 2월 22~23일 열린 동물의료기술 전문 박람회인 CAMEX 2020에 첫선을 보여 관련 업체와 동물병원 수의사 의료진...",http://www.koreadognews.co.kr/news/view.php?no=2729
2020/02/18 12:48,"버디펫, 습식간식 ‘캣시피’, 와디즈 크라우드 펀딩 1,034% 달성","버디펫(대표이사 조범석)이 크라우드 펀딩 플랫폼 와디즈(Wadiz)에서 신제품 ‘캣시피’를 첫 공개하고 1,034%라는 성공적으로 펀딩을 종료했다. 이번 펀딩은 전북대학교 창업지원단이 주최하고 인트윈이 운영한 ‘2019 전북대학교 창업지원단 크라우드 펀딩 지원사업...",http://www.koreadognews.co.kr/news/view.php?no=2714
2020/02/17 10:45,"반려동물의 장수 비법, 건강한 치아 관리",어느새 우리 삶의 일부분이 되어버린 반려동물. 사람의 즐거움을 위한 소유물이라는 의미가 강했던 ‘애완동물’에서 인생의 동반자라는 의미인 ‘반려동물’로 지칭되는 것만 보아도 삶의 반려자로서 대우하자는 인식의 변화를 느낄 수 있다. 많은 반려동물 보호자들...,http://www.koreadognews.co.kr/news/view.php?no=2707
2020/02/12 15:58,"멍멍닷컴, 펫 드라이용품 '페스니즈' 출시","펫스타트업체 멍멍닷컴(김성식, 이성호 대표)이 오는 17일 GS홈쇼핑에서 '펫스니즈' 펫 드라이용품을 새롭게 선보인다고 12일 밝혔다. '펫스니즈' 드라이용 타올은 멍멍닷컴이 자체 개발한 100% 국내산 최고급 극세사 원단으로 제작하여 일반 타올보...",http://www.koreadognews.co.kr/news/view.php?no=2695
2020/02/11 00:56,"러쉬, 호주 산불 피해 야생동물을 위한 코알라 비누 출시","2월 11일 화요일, 영국 프레쉬 핸드메이드 코스메틱 브랜드 러쉬(LUSH)가 호주 산불로 피해 입은 야생동물과 자연을 위해 보디 솝 ‘올 더 와일드 띵스(All The Wild Things)’ 출시한다. 지난해 9월부터 이어진 산불로 1,100만 헥타르의 호주 숲과 그곳에 서식하고 있던 10억 마리 ...",http://www.koreadognews.co.kr/news/view.php?no=2691
2020/02/10 12:03,"이피아, 반려동물 냄새 원인 제거 탈취제 선보여",이피아는 복합효소와 환경 촉매를 기술을 이용해 산업용 및 생활환경 개선 제품을 만드는 회사로 현재 급부상하는 반려동물 산업에 부응하여 반려동물용 탈취제와 살균제 제품을 선보이고 있다. 집에서 반려동물과 함께 생활하면서 위생과 청결에 대해서 많...,http://www.koreadognews.co.kr/news/view.php?no=2689
2020/01/08 09:27,반려견 개껌에 건강을 담았다!!! 스타덴탈츄 3종 출시,"에코펫위드가 치석 제거, 치주질환 예방과 영양간식 역할까지 고려한 기능성 스타덴탈츄(덴탈껌)를 출시해 화제를 모으고 있다. '스타덴탈츄'는 타임지가 선정한 세계 10대 수퍼푸드인 연어와 귀리, 블루베리, 브로콜리 등 건강한 재료로 만들어 ▶피부피모...",http://www.koreadognews.co.kr/news/view.php?no=2644
2019/12/20 13:11,"펫테크 '핏펫', 반려동물 소변검사키트 ‘Ahead’ 홈쇼핑 진출","핏펫은 반려동물 소변검사키트 ""Ahead""를 홈쇼핑 채널인 신세계TV쇼핑을 통해 판매한다고 19일 밝혔다. 이번 방송은 오는 21일 오후 5시 24분부터 한 시간 동안 진행될 예정이다. Ahead 는 체외검사키트와 ICT를 융합해 영상처리기술과 알고리즘을 통해 손쉽고 간편...",http://www.koreadognews.co.kr/news/view.php?no=2609
2019/12/17 12:17,"루브립, 강아지 투명 입마개 '마우스 핏' 선보여...",반려견의 발톱관리나 털 관리 등 강아지 미용은 이제 선택 아닌 필수가 됐다. 하지만 많은 강아지가 미용 시 평소보다 예민해지기 마련이다. 물론 미용 후 간식으로 보상을 주는 등 적응 훈련을 거치지만 강아지들이 항상 내 마음같지는 않다. 그래서 전문가들은 입 ...,http://www.koreadognews.co.kr/news/view.php?no=2598
2019/12/05 14:18,"동원F&B, 캐나다산 프리미엄 펫푸드 ‘뉴트람’ 국내 출시",천연·홀리스틱 등급의 캐나다 프리미엄 펫푸드 브랜드 ‘뉴트람’ 한국 정식 출시 연어 오일·석류·강황 등 30여가지 다양한 천연원료로 최적의 조합 개발 뉴트람 애견용 5종∙애묘용 4종의 기능성 건식 펫푸드 출시 동원 F&amp;B(대표이사 김재옥)가 캐나다의 프...,http://www.koreadognews.co.kr/news/view.php?no=2561
2019/12/04 10:48,반려견이 영화를 보며 팝콘을 먹는다고?,"영화 '마이펫의 이중생활', '내 어깨 위 고양이 밥', '하치' 등 반려동물을 소재로 한 영화가 참 많다. 특히 이런 영화를 보고 있노라면 영화 중간에 나의 강아지 이름을 한번 쯤 불러본 경험도 많은 것이다. 영화 속 강아지를 보며 근처에서 잠자고 ...",http://www.koreadognews.co.kr/news/view.php?no=2552
2019/11/18 11:37,"반려동물 전문 기업 드림펫푸드, 신제품 ‘드림캣’ 2종 출시","18일 반려동물 식품 전문 기업 드림펫푸드는 ‘드림캣 사료’와 ‘드림캣 캔’ 신제품 2종을 출시했다고 밝혔다. ‘드림캣 사료와 ’드림캣 캔‘은 장내 미생물 환경을 이롭게 도와주도록 설계되고 단백질 흡수가 용이해 면역력, 활력증진 및 윤택한 피모에 도...",http://www.koreadognews.co.kr/news/view.php?no=2504
2019/11/06 10:59,물어뜯는 반려동물 꼼짝마!,"주식회사 시소퍼블릭릴레이션즈(멜슨)는 행동 교정 스프레이인 미국의 그래닉스비터애플을 수입해 11일부터 판매한다고 6일 밝혔다. 그래닉스비터애플은 가누나 벽, 털 등을 물어뜯는 개, 고양이 기타 반려동물의 나쁜 행동을 교정시켜줄 수 있는 스프레이다. 반려동...",http://www.koreadognews.co.kr/news/view.php?no=2472
2019/10/18 15:51,이제 반려견과 맥주로 소통하자!~,"벨기에 밀맥주 호가든(Hoegaarden)이 맥주 브랜드 최초로 국내 반려견을 위한 전용 무알코올 맥주 '펫비어'를 한정 출시한다고 16일 밝혔다. 원료로는 오렌지껍질의 향긋한 향료와 고구마, 옥수수, 보리 등을 가미해 향과 고소한 맛을 잡았다. 비타민 A, B2, C, D...",http://www.koreadognews.co.kr/news/view.php?no=2417
2019/10/18 11:39,'미스터 펫자' 반려동물을 위한 피자 출시!,"미스터피자가 업계 최초로 반려견, 반려묘를 위한 피자 '미스터펫자(Mr.petzza)를 지난 3일 선보였다. 피자를 주문하고 먹을때 항상 애견의 눈치를 봐야했던 경험을 가진 견주들에겐 희망의 메시지다. pet치블스와 pet페퍼로니 2종으로 출시됐으며, 미스터피자의...",http://www.koreadognews.co.kr/news/view.php?no=2415
2019/09/11 10:07,이젠 강아지도 고양이도 전용 태블릿 시대!,"혼자 집에 있는 강아지는 뭘 하고 있을까? 이제 이런 질문은 더 이상 낯설지 않다. 이미 강아지와 고양이의 안정을 위한 기능성 콘텐츠를 서비스하는 채널이 전 세계 두 개 있는데, 그 중 하나가 순수 국내 채널인 해피독TV다. 강아지나 고양이의 안정을 ...",http://www.koreadognews.co.kr/news/view.php?no=2349
2019/09/09 10:48,"쿠쿠 넬로 펫 에어샤워 앤 드라이룸, 맞춤 서비스 도입에 매출도 쑥",종합 건강 생활가전 기업 쿠쿠전자(대표이사 구본학)가 지난 6월 론칭한 라이프스타일 펫 브랜드 ‘넬로(Nello)’의 첫 제품인 ‘펫 에어샤워 앤 드라이룸’의 인기가 심상치 않다. 쿠쿠전자에 따르면 넬로의 펫 에어샤워 앤 드라이룸의 7월 판매량은 전월 대비 165.6% ...,http://www.koreadognews.co.kr/news/view.php?no=2313
2019/09/09 10:35,반려동물 전용 세탁세제 ‘뽀솜’ 런칭,반려동물 피부를 생각한 생각한 식물 유래 성분의 프리미엄 세탁세제 ‘뽀솜’이 출시되었다. 사람에 비해 반려동물의 피부는 5배가 얇고 체온이 높아 조금만 세정력이 과하거나 성분이 맞지 않을 경우 각종 질환에 쉽게 노출될수 있다고 한다. 뽀솜 세제는 ...,http://www.koreadognews.co.kr/news/view.php?no=2312
2019/09/09 10:28,반려동물 기대수명 연장 솔루션 “퓨어네이쳐” 출시,"맛과 영양 안전 기본에 충실한 사료 퓨어네이쳐(purenature) 3종이 출시되어 8월부터 서울, 수도권의 오프라인 매장과 동물병원을 시작으로 순조로운 입점이 시작되었다. 퓨어네이쳐(purenature) 사료는 무엇보다도 반려동물이 잘 먹는 사료를 만드는데 중점을 두...",http://www.koreadognews.co.kr/news/view.php?no=2311
2019/09/09 10:20,"힐스, 처방식 사료 ’GI 바이옴’ 국내 발매","생물학 기반 반려동물 영양 분야의 글로벌 리더인 힐스펫뉴트리션 코리아(이하 힐스 코리아)가 10년 이상의 마이크로바이옴 연구를 통해 탄생한 새로운 처방식 사료, ‘GI(Gastrointestinal) 바이옴’을 국내 출시한다. 장내 마이크로바이옴과 시너지 효과를 일으키는 프리바이...",http://www.koreadognews.co.kr/news/view.php?no=2310
